SAid,SSid,LEid,SArecordType,SAsequenceNumber,SAparentSequenceNumber,SAstratification,SAstratumName,SAspeciesCode,SAspeciesCodeFAO,SAstateOfProcessing,SApresentation,SAspecimensState,SAcatchCategory,SAlandingCategory,SAcommSizeCatScale,SAcommSizeCat,SAsex,SAexclusiveEconomicZoneIndicator,SAarea,SArectangle,SAfisheriesManagementUnit,SAgsaSubarea,SAjurisdictionArea,SAnationalFishingActivity,SAmetier5,SAmetier6,SAgear,SAmeshSize,SAselectionDevice,SAselectionDeviceMeshSize,SAunitType,SAtotalWeightLive,SAsampleWeightLive,SAnumberTotal,SAnumberSampled,SAselectionProb,SAinclusionProb,SAselectionMethod,SAunitName,SAlowerHierarchy,SAsampler,SAsampled,SAreasonNotSampled,SAnonResponseCollected,SAreasonNotSampledFM,SAreasonNotSampledBV,SAtotalWeightMeasured,SAsampleWeightMeasured,SAconversionFactorMeasLive,SAauxiliaryVariableTotal,SAauxiliaryVariableValue,SAauxiliaryVariableName,SAauxiliaryVariableUnit
466326,216648,,SA,1,,N,U,126425,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466327,216649,,SA,1,,N,U,126425,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466328,216649,,SA,1,,N,U,126417,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466329,216650,,SA,1,,N,U,126425,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466330,216651,,SA,1,,N,U,126425,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466331,216651,,SA,1,,N,U,126417,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466332,216652,,SA,1,,N,U,126417,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466333,216652,,SA,1,,N,U,125464,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466334,216653,,SA,1,,N,U,126425,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466335,216653,,SA,1,,N,U,126417,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466336,216653,,SA,1,,N,U,125464,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466337,216654,,SA,1,,N,U,125464,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466338,216655,,SA,1,,N,U,126425,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
466339,216655,,SA,1,,N,U,127143,,FRE,WHL,DeadOrZeroProbSurvival,Lan,,,,U,,,,,NotApplicable,,,,,,,,,Box,,,1.0,1.0,1.0000000000000000,1.0000000000000000,CENSUS,1,D,Observer,N,,N,,,297326,297326,1.000,,,,
